AGE;MATI;JML_DEPLESI;STD_CUM_DEPLESI_%;PAKAN_STD_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_CUM_GR/EKOR;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;JUMLAH_AYAM_AKHIR;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;DELTA_PAKAN_GR/EKOR_lag_1;DELTA_PAKAN_GR/EKOR_lag_2;DELTA_PAKAN_GR/EKOR_lag_3;DELTA_PAKAN_GR/EKOR_lag_7;DELTA_PAKAN_GR/EKOR_lag_14;DELTA_DG_lag_1;DELTA_DG_lag_2;DELTA_DG_lag_3;DELTA_DG_lag_7;DELTA_DG_lag_14;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_std_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;MATI_rolling_mean_3;MATI_rolling_std_3;MATI_rolling_min_3;MATI_rolling_max_3;MATI_rolling_mean_7;MATI_rolling_std_7;MATI_rolling_min_7;MATI_rolling_max_7;MATI_rolling_mean_14;MATI_rolling_std_14;MATI_rolling_min_14;MATI_rolling_max_14;JML_DEPLESI_rolling_std_3;JML_DEPLESI_rolling_std_7;JML_DEPLESI_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_mean_3;DELTA_PAKAN_GR/EKOR_rolling_std_3;DELTA_PAKAN_GR/EKOR_rolling_min_3;DELTA_PAKAN_GR/EKOR_rolling_max_3;DELTA_PAKAN_GR/EKOR_rolling_mean_7;DELTA_PAKAN_GR/EKOR_rolling_std_7;DELTA_PAKAN_GR/EKOR_rolling_min_7;DELTA_PAKAN_GR/EKOR_rolling_max_7;DELTA_PAKAN_GR/EKOR_rolling_mean_14;DELTA_PAKAN_GR/EKOR_rolling_std_14;DELTA_PAKAN_GR/EKOR_rolling_min_14;DELTA_PAKAN_GR/EKOR_rolling_max_14;DELTA_DG_rolling_mean_3;DELTA_DG_rolling_min_3;DELTA_DG_rolling_max_3;DELTA_DG_rolling_mean_7;DELTA_DG_rolling_std_7;DELTA_DG_rolling_min_7;DELTA_DG_rolling_max_7;DELTA_DG_rolling_mean_14;DELTA_DG_rolling_std_14;DELTA_DG_rolling_min_14;PAKAN_DG_RATIO;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;PAKAN_ACT_GR/EK_volatility_3;PAKAN_ACT_GR/EK_trend_slope_3;DG_ACT_momentum_1;DG_ACT_acceleration;DG_ACT_volatility_3;DG_ACT_trend_slope_3;MATI_momentum_1;MATI_acceleration;MATI_volatility_3;MATI_trend_slope_3;JML_DEPLESI_momentum_1;JML_DEPLESI_acceleration;JML_DEPLESI_volatility_3;ABW_ACT_acceleration;ABW_ACT_volatility_3;DELTA_PAKAN_GR/EKOR_momentum_1;DELTA_PAKAN_GR/EKOR_acceleration;DELTA_PAKAN_GR/EKOR_volatility_3;DELTA_PAKAN_GR/EKOR_trend_slope_3;FEED_EFFICIENCY_lag_1
11;7;111;1.4;435;-1.7;15.0;56;16;7;1.149;1.138;-0.011;289;312;17889;1;1.152;0.909;0.428;28.0;34.0;46.0;33.0;30.0;22.0;6.0;10.0;8.0;16.0;16.0;53.0;16.0;0.0;0.0;-1.0;9.0;10.0;-11.0;5.0;-4.0;6.0;8.0;2.517;9.268;11.583;45.333;11.015;34.0;56.0;10.799;25.0;11.4;19.0;7.667;2.082;6.0;10.0;8.286;1.704;6.0;10.0;10.091;3.885;6.0;16.0;6.506;17.315;31.456;-1.667;2.887;-5.0;0.0;-0.714;2.059;-5.0;1.0;1.909;4.679;-5.0;10.0;0.333;-11.0;7.0;-0.143;8.688;-11.0;13.0;1.455;7.313;-11.0;1.036;2.0;-1.0;3.786;2.5;22.0;34.0;17.616;5.0;1.0;5.0;3.215;-1.5;7.0;1.0;2.082;22.0;11.015;-5.0;-5.0;3.215;-2.5;0.868
12;9;120;1.53;506;-0.5;11.0;51;12;-4;1.169;1.158;-0.011;297;317;17880;1;1.138;0.891;0.428;28.0;56.0;34.0;46.0;40.0;22.0;7.0;6.0;10.0;10.0;16.0;63.0;16.0;-5.0;0.0;0.0;-1.0;10.0;7.0;-11.0;5.0;13.0;8.0;5.859;9.778;13.382;47.0;11.533;34.0;56.0;11.972;25.0;12.152;19.0;7.333;1.528;6.0;9.0;8.143;1.574;6.0;10.0;10.0;3.717;6.0;16.0;8.021;16.919;33.469;-2.0;2.646;-5.0;0.0;-0.714;2.059;-5.0;1.0;1.667;4.539;-5.0;10.0;-2.667;-11.0;7.0;-2.571;6.503;-11.0;7.0;1.0;7.148;-11.0;1.314;9.0;7.0;3.786;5.5;-5.0;-27.0;17.954;8.5;2.0;1.0;3.215;1.5;9.0;2.0;1.528;-6.0;11.372;4.0;9.0;4.509;-0.5;0.879
13;6;126;1.68;584;-0.3;5.0;54;8;-2;1.186;1.178;-0.008;305;322;17874;1;1.158;0.963;0.428;28.0;51.0;56.0;34.0;28.0;22.0;9.0;7.0;6.0;10.0;16.0;73.0;16.0;-1.0;-5.0;0.0;1.0;10.0;-4.0;7.0;-11.0;-3.0;8.0;7.095;10.626;15.128;53.667;2.517;51.0;56.0;12.024;25.0;12.919;19.0;7.333;1.528;6.0;9.0;7.571;1.512;6.0;10.0;9.692;3.728;6.0;16.0;7.55;16.618;35.274;-2.333;2.309;-5.0;-1.0;-1.0;1.915;-5.0;1.0;1.462;4.409;-5.0;10.0;0.333;-4.0;7.0;-2.429;6.503;-11.0;7.0;0.769;6.894;-11.0;1.333;5.0;-4.0;3.512;7.0;3.0;8.0;13.868;-1.0;-3.0;-5.0;2.646;-0.5;6.0;-3.0;1.528;4.0;3.055;0.0;-4.0;4.509;2.0;0.864
14;5;131;1.79;668;-0.1;-1.0;69;16;8;1.208;1.172;-0.036;313;342;17869;1;1.178;1.052;0.428;28.0;54.0;51.0;56.0;25.0;22.0;6.0;9.0;7.0;7.0;16.0;80.0;16.0;-1.0;-1.0;-5.0;1.0;10.0;-2.0;-4.0;7.0;-8.0;8.0;5.508;11.782;16.969;58.0;9.644;51.0;69.0;12.702;33.0;15.334;19.0;6.667;2.082;5.0;9.0;7.286;1.799;5.0;10.0;9.357;3.795;5.0;16.0;5.508;15.561;36.843;-0.667;0.577;-1.0;0.0;-1.143;1.773;-5.0;0.0;1.357;4.254;-5.0;10.0;0.667;-4.0;8.0;-0.143;7.01;-11.0;8.0;1.286;6.9;-11.0;1.13;6.0;1.0;2.082;5.5;15.0;12.0;10.066;9.0;-1.0;2.0;2.517;-2.0;5.0;-1.0;2.082;15.0;10.017;1.0;1.0;2.082;0.5;0.849
15;4;135;1.92;752;0.8;1.0;63;14;-2;1.219;1.191;-0.028;320;348;17865;1;1.172;1.09;0.428;28.0;69.0;54.0;51.0;33.0;22.0;5.0;6.0;9.0;8.0;16.0;88.0;16.0;0.0;-1.0;-1.0;-1.0;10.0;8.0;-2.0;-4.0;-4.0;8.0;7.024;12.28;18.804;62.0;7.55;54.0;69.0;11.398;34.0;16.003;19.0;5.0;1.0;4.0;6.0;6.714;2.138;4.0;10.0;8.5;3.525;4.0;16.0;4.509;13.969;34.392;0.333;1.528;-1.0;2.0;-0.714;2.138;-5.0;2.0;0.786;3.468;-5.0;9.0;1.333;-2.0;8.0;0.143;6.866;-11.0;8.0;0.571;6.665;-11.0;1.365;8.0;2.0;1.528;7.0;-6.0;-21.0;10.536;4.5;-1.0;0.0;1.155;-1.0;4.0;-1.0;1.0;-6.0;7.55;2.0;1.0;1.0;1.5;0.853
16;7;142;2.06;841;-0.4;1.0;70;17;2;1.229;1.199;-0.03;327;360;17858;1;1.191;1.098;0.593;22.0;63.0;69.0;54.0;46.0;19.0;4.0;5.0;6.0;10.0;15.0;98.0;31.0;2.0;0.0;-1.0;0.0;0.0;-2.0;8.0;-2.0;5.0;2.0;5.686;12.893;19.182;67.333;3.786;63.0;70.0;12.406;34.0;16.494;21.0;5.333;1.528;4.0;7.0;6.286;1.604;4.0;9.0;7.929;2.999;4.0;16.0;5.568;13.434;32.674;0.333;1.528;-1.0;2.0;-0.857;2.116;-5.0;2.0;0.714;3.496;-5.0;9.0;2.667;-2.0;8.0;-0.286;6.601;-11.0;8.0;0.571;6.665;-11.0;1.271;3.0;-5.0;2.517;5.5;7.0;13.0;10.599;0.5;3.0;4.0;2.309;1.0;7.0;3.0;1.528;7.0;3.786;-3.0;-5.0;2.646;-0.5;0.84
17;7;149;2.18;936;1.4;6.0;71;17;0;1.239;1.218;-0.021;334;367;17851;1;1.199;1.152;0.794;33.0;70.0;63.0;69.0;34.0;21.0;7.0;4.0;5.0;6.0;6.0;104.0;37.0;-1.0;2.0;0.0;0.0;7.0;2.0;-2.0;8.0;-11.0;1.0;7.371;14.281;21.128;68.0;4.359;63.0;71.0;8.327;51.0;16.478;25.0;6.0;1.732;4.0;7.0;6.429;1.618;4.0;9.0;8.0;2.961;4.0;16.0;7.0;12.947;30.431;1.667;2.517;-1.0;4.0;-0.286;2.812;-5.0;4.0;0.5;3.156;-5.0;9.0;0.0;-2.0;2.0;1.286;4.645;-4.0;8.0;0.5;6.665;-11.0;1.408;11.0;8.0;4.041;7.0;1.0;-6.0;6.506;4.0;0.0;-3.0;2.082;1.5;7.0;0.0;1.732;1.0;4.359;5.0;8.0;4.041;1.0;0.834
18;15;164;2.31;1036;-0.7;6.0;92;35;18;1.249;1.204;-0.045;343;392;17836;1;1.218;1.138;0.909;39.0;71.0;70.0;63.0;56.0;30.0;7.0;7.0;4.0;7.0;16.0;111.0;53.0;4.0;-1.0;2.0;-5.0;9.0;0.0;2.0;-2.0;7.0;6.0;6.351;12.96;22.428;77.667;12.423;70.0;92.0;13.508;51.0;19.384;25.0;9.667;4.619;7.0;15.0;7.571;3.645;4.0;15.0;7.929;2.759;4.0;15.0;11.24;14.938;30.24;0.333;3.215;-2.0;4.0;0.143;2.116;-2.0;4.0;-0.286;2.054;-5.0;4.0;6.667;0.0;18.0;2.857;7.734;-4.0;18.0;1.357;8.054;-11.0;1.087;0.0;-11.0;5.686;5.5;21.0;20.0;10.263;11.0;8.0;8.0;4.041;4.0;15.0;8.0;4.619;21.0;12.423;-6.0;-11.0;5.686;-0.5;0.821
19;5;169;2.44;1142;0.8;8.0;74;31;-3;1.259;1.225;-0.034;378;396;17831;1;1.204;1.158;0.891;33.0;92.0;71.0;70.0;51.0;40.0;15.0;7.0;7.0;9.0;10.0;120.0;63.0;-2.0;4.0;-1.0;-1.0;-1.0;18.0;0.0;2.0;-4.0;13.0;4.619;12.96;22.982;79.0;11.358;71.0;92.0;11.588;54.0;19.851;25.0;9.0;5.292;5.0;15.0;7.0;3.697;4.0;15.0;7.571;2.793;4.0;15.0;10.408;16.426;29.988;1.333;3.055;-2.0;4.0;0.571;2.149;-2.0;4.0;-0.071;2.129;-5.0;4.0;5.0;-3.0;18.0;3.0;7.594;-3.0;18.0;0.214;7.382;-11.0;1.459;8.0;8.0;5.686;4.0;-18.0;-39.0;19.502;1.5;-10.0;-18.0;9.018;-1.0;5.0;-10.0;5.292;-18.0;11.358;4.0;10.0;6.083;-1.0;0.831
20;8;177;2.57;1256;0.0;8.0;86;58;6;1.272;1.233;-0.039;383;407;17823;1;1.225;1.178;0.963;39.0;74.0;92.0;71.0;54.0;28.0;5.0;15.0;7.0;6.0;10.0;126.0;73.0;2.0;-2.0;4.0;-1.0;1.0;-3.0;18.0;0.0;-2.0;-3.0;7.024;12.726;23.679;84.0;9.165;74.0;92.0;10.263;63.0;19.899;25.0;9.333;5.132;5.0;15.0;7.286;3.684;4.0;15.0;7.429;2.709;4.0;15.0;6.557;17.775;30.14;0.0;2.0;-2.0;2.0;0.714;2.059;-2.0;4.0;-0.143;2.107;-5.0;4.0;7.0;-3.0;18.0;4.143;7.313;-3.0;18.0;0.857;7.472;-11.0;1.326;6.0;-2.0;4.163;7.0;12.0;30.0;20.421;-3.0;3.0;13.0;9.292;-3.5;8.0;3.0;5.132;12.0;9.165;-2.0;-6.0;5.033;1.0;0.816
